Date,Positive,Negative,Total
10/22/2018,0.42510612492419647,0.13826561552456035,1649
10/23/2018,0.41509433962264153,0.14944594189877208,3339
10/24/2018,0.4315028901734104,0.13236994219653178,3460
10/25/2018,0.419957310565635,0.1344717182497332,3748
10/26/2018,0.4232313870868088,0.14087117701575533,3237
10/27/2018,0.3966804979253112,0.16390041493775934,2410
10/28/2018,0.4036195286195286,0.15698653198653198,2376
10/29/2018,0.43913857677902624,0.14107365792759052,3204
10/31/2018,0.41901603095632944,0.14870093974571585,3618
10/30/2018,0.4213780918727915,0.15106007067137808,3396
11/1/2018,0.4221233312142403,0.14367450731087095,3146
11/2/2018,0.3946050096339114,0.12870905587668593,2595
11/3/2018,0.39915966386554624,0.13497899159663865,1904
11/4/2018,0.39579579579579577,0.11831831831831832,1665
11/5/2018,0.400902749281904,0.13541239228559704,2437
11/6/2018,0.3823424706301175,0.1495194019223923,2809
11/7/2018,0.41285140562248995,0.1285140562248996,2490
11/8/2018,0.41639871382636656,0.12620578778135047,2488
11/9/2018,0.43130434782608695,0.11826086956521739,2300
11/10/2018,0.44229642647920325,0.11540714704159344,1707
11/11/2018,0.4268370607028754,0.1220447284345048,1565
11/12/2018,0.3206776893243519,0.3417023882424985,4899
11/13/2018,0.4065293431791683,0.14807617567042364,2573
11/14/2018,0.42418772563176893,0.12707581227436823,2770
11/15/2018,0.3428918590522479,0.17715674362089914,4115
11/16/2018,0.3808031899743663,0.16804329250925662,3511
11/17/2018,0.3771186440677966,0.15677966101694915,2124
11/18/2018,0.36693548387096775,0.1693548387096774,2232
11/19/2018,0.40845550630753497,0.13433344698261165,2933
11/20/2018,0.35183324962330487,0.25740833751883474,3982
11/21/2018,0.40625,0.15850515463917525,3104
11/22/2018,0.4161988773055333,0.15236567762630313,2494
11/23/2018,0.4441816461684011,0.12582781456953643,2114
11/24/2018,0.4279499728113105,0.1348558999456226,1839
11/25/2018,0.3660394265232975,0.14829749103942652,2232
11/26/2018,0.40476190476190477,0.11436377829820453,2562
11/27/2018,0.3892106065224017,0.13654373666565073,3281
11/28/2018,0.39593908629441626,0.16352429296591733,2758
11/29/2018,0.4105304829770388,0.14093428345209819,2526
11/30/2018,0.39961977186311787,0.15285171102661596,2630
12/1/2018,0.42096120440069484,0.12565141864504922,1727
