Date,Positive,Negative,Total
10/22/2018,0.39371980676328505,0.1111111111111111,414
10/23/2018,0.4133160397751837,0.11456982274102896,2313
10/24/2018,0.3824130879345603,0.1083844580777096,2445
10/25/2018,0.4059369202226345,0.10909090909090909,2695
10/26/2018,0.4290697674418605,0.12713178294573643,2580
10/27/2018,0.41436100131752307,0.11923583662714098,1518
10/28/2018,0.3842556508183944,0.1309431021044427,1283
10/29/2018,0.4249053428691628,0.09213294068153134,2377
10/30/2018,0.4079767345243041,0.12048192771084337,2407
10/31/2018,0.4163793103448276,0.1254310344827586,2320
11/1/2018,0.4304779639975171,0.09993792675356922,3222
11/2/2018,0.38825517532741866,0.11364596535699198,2367
11/3/2018,0.3739495798319328,0.09033613445378151,1428
11/4/2018,0.3617021276595745,0.11170212765957446,1128
11/5/2018,0.38790406673618355,0.09332638164754953,1918
11/6/2018,0.3884526558891455,0.10438799076212471,2165
11/7/2018,0.3989690721649485,0.12371134020618557,1940
11/8/2018,0.4126679462571977,0.09309021113243762,2084
11/9/2018,0.38856589147286824,0.10465116279069768,2064
11/10/2018,0.3703956343792633,0.13233287858117326,1466
11/11/2018,0.36524822695035464,0.11347517730496454,1128
11/12/2018,0.3694331983805668,0.11437246963562753,1976
11/13/2018,0.33530655391120506,0.13911205073995772,2365
11/14/2018,0.36813186813186816,0.11172161172161173,2730
11/15/2018,0.4014026402640264,0.11551155115511551,2424
11/16/2018,0.4180618975139523,0.10755961440892947,1971
11/17/2018,0.3782312925170068,0.09523809523809523,1470
11/18/2018,0.384917517674784,0.10840534171249018,1273
11/19/2018,0.3871428571428571,0.08952380952380952,2100
11/20/2018,0.3966530981456355,0.11533242876526459,2211
11/21/2018,0.3848341232227488,0.09431279620853081,2110
11/22/2018,0.4202098288238542,0.11430149088901159,1811
11/23/2018,0.37141183362624486,0.11775043936731107,1707
11/24/2018,0.35086401202103684,0.1217129977460556,1331
11/25/2018,0.3805601317957166,0.10214168039538715,1214
11/26/2018,0.3684210526315789,0.10526315789473684,1976
11/27/2018,0.3442211055276382,0.1260469011725293,2388
11/28/2018,0.40089358245329,0.0950446791226645,2462
11/29/2018,0.3953594176524113,0.09417652411282984,2198
11/30/2018,0.4161043634727845,0.10571300044984255,2223
12/1/2018,0.36193029490616624,0.10991957104557641,1492
