Date,Positive,Negative,Total
10/22/2018,0.45231607629427795,0.17029972752043596,734
10/23/2018,0.4752376188094047,0.14607303651825912,1999
10/24/2018,0.4947994056463596,0.13125309559187717,2019
10/25/2018,0.4768740031897927,0.1419457735247209,1881
10/26/2018,0.48260517799352753,0.156957928802589,2472
10/27/2018,0.4763244256915143,0.15518049695264885,2133
10/28/2018,0.5061169007702764,0.14227458087902128,2207
10/29/2018,0.4907268170426065,0.1598997493734336,1995
10/30/2018,0.4721951219512195,0.15804878048780488,2050
10/31/2018,0.48578924355050285,0.13467424573677306,2287
11/1/2018,0.4542910447761194,0.13759328358208955,2144
11/2/2018,0.48231009365244537,0.14151925078043703,1922
11/3/2018,0.4966405375139978,0.15621500559910415,1786
11/4/2018,0.5076741440377804,0.14698937426210154,1694
11/5/2018,0.4721502590673575,0.13406735751295337,1544
11/6/2018,0.4950033311125916,0.13857428381079281,1501
11/7/2018,0.480083857442348,0.14395527603074773,1431
11/8/2018,0.47729789590254706,0.13953488372093023,1806
11/9/2018,0.4650070455612964,0.15782057303898545,2129
11/10/2018,0.4733695652173913,0.15,1840
11/11/2018,0.529449423815621,0.1267605633802817,1562
11/12/2018,0.5259308510638298,0.12234042553191489,1504
11/13/2018,0.4947692307692308,0.13415384615384615,1625
11/14/2018,0.5027967681789932,0.12367930391547545,1609
11/15/2018,0.4596977329974811,0.12846347607052896,1588
11/16/2018,0.460955710955711,0.1357808857808858,1716
11/17/2018,0.48640832851359167,0.11683053788316947,1729
11/18/2018,0.4859154929577465,0.11913145539906103,1704
11/19/2018,0.503957783641161,0.12598944591029024,1516
11/20/2018,0.5018292682926829,0.11097560975609756,1640
11/21/2018,0.48985863552550707,0.14443761524277812,1627
11/22/2018,0.507032819825854,0.11788345612860013,1493
11/23/2018,0.5077138849929874,0.10378681626928471,1426
11/24/2018,0.5188284518828452,0.1394700139470014,1434
11/25/2018,0.5031847133757962,0.12165605095541401,1570
11/26/2018,0.5171703296703297,0.13186813186813187,1456
11/27/2018,0.4950838635049161,0.13128976286871025,1729
11/28/2018,0.5384243595940068,0.10874818753020783,2069
11/29/2018,0.4573791348600509,0.12213740458015267,1572
11/30/2018,0.4420534093855328,0.1770806326160228,3857
12/1/2018,0.47038499506416587,0.14461994076999013,2026
